Experiment,Subset,Model,auroc,auprc,accuracy,balanced_accuracy,precision_class_0,recall_class_0,f1_class_0,precision_class_1,recall_class_1,f1_class_1
Exp 1,All Features,LSTM,0.8525,0.4999,0.7883,0.7699,0.9599,0.7939,0.869,0.3211,0.746,0.4489
Exp 1,All Features,GRU-D,0.8638,0.5208,0.7871,0.7797,0.9633,0.7893,0.8677,0.3232,0.7701,0.4553
Exp 1,All Features,XGBoost,0.8654,0.5235,0.8059,0.7694,0.9574,0.8169,0.8816,0.3401,0.7219,0.4623
Exp 1,All Features,Ensemble,0.8713,0.5363,0.7933,0.782,0.9632,0.7966,0.8721,0.3303,0.7674,0.4618
Exp 2,Hemodynamics,LSTM,0.6641,0.2755,0.543,0.6022,0.9261,0.5252,0.6702,0.1575,0.6791,0.2557
Exp 2,Hemodynamics,GRU-D,0.6968,0.2888,0.5986,0.6313,0.9325,0.5887,0.7218,0.1763,0.6738,0.2795
Exp 2,Hemodynamics,XGBoost,0.6979,0.2739,0.7457,0.6331,0.9208,0.7795,0.8443,0.2239,0.4866,0.3067
Exp 2,Hemodynamics,Ensemble,0.7094,0.3028,0.6585,0.6489,0.933,0.6614,0.7741,0.1972,0.6364,0.3011
Exp 2,Respiratory/Acid-Base,LSTM,0.7287,0.3174,0.5374,0.6513,0.9505,0.5031,0.658,0.1737,0.7995,0.2854
Exp 2,Respiratory/Acid-Base,GRU-D,0.7327,0.3177,0.6344,0.6701,0.9439,0.6237,0.7511,0.1993,0.7166,0.3118
Exp 2,Respiratory/Acid-Base,XGBoost,0.778,0.3489,0.7423,0.6916,0.9393,0.7575,0.8387,0.2522,0.6257,0.3594
Exp 2,Respiratory/Acid-Base,Ensemble,0.7816,0.3596,0.7287,0.6932,0.9413,0.7393,0.8282,0.2449,0.6471,0.3554
Exp 2,Neurologic,LSTM,0.7887,0.351,0.7345,0.7267,0.9521,0.7369,0.8308,0.2625,0.7166,0.3842
Exp 2,Neurologic,GRU-D,0.7947,0.3588,0.7302,0.7266,0.9527,0.7313,0.8274,0.2599,0.7219,0.3822
Exp 2,Neurologic,XGBoost,0.8087,0.3589,0.7549,0.7359,0.9527,0.7607,0.8459,0.2797,0.7112,0.4015
Exp 2,Neurologic,Ensemble,0.8134,0.3733,0.7546,0.7346,0.9523,0.7607,0.8458,0.2789,0.7086,0.4003
Exp 2,Metabolic/General,LSTM,0.6763,0.2224,0.6731,0.6304,0.9251,0.6859,0.7877,0.193,0.5749,0.289
Exp 2,Metabolic/General,GRU-D,0.7169,0.2527,0.6975,0.6558,0.9317,0.71,0.8059,0.2133,0.6016,0.3149
Exp 2,Metabolic/General,XGBoost,0.7164,0.2573,0.7302,0.6464,0.9259,0.7554,0.832,0.2231,0.5374,0.3153
Exp 2,Metabolic/General,Ensemble,0.7314,0.2726,0.7271,0.6633,0.9315,0.7463,0.8287,0.2301,0.5802,0.3295
Exp 4,Last 12h,LSTM,0.8392,0.4703,0.7608,0.7683,0.9632,0.7586,0.8487,0.2963,0.7781,0.4292
Exp 4,Last 12h,GRU-D,0.8454,0.483,0.7485,0.7706,0.9659,0.7418,0.8391,0.2881,0.7995,0.4235
Exp 4,Last 12h,XGBoost,0.8528,0.4867,0.7911,0.7622,0.9569,0.7998,0.8713,0.3211,0.7246,0.445
Exp 4,Last 12h,Ensemble,0.8504,0.4962,0.7574,0.7745,0.9659,0.7523,0.8458,0.2959,0.7968,0.4316
Exp 4,Last 24h,LSTM,0.841,0.4753,0.7908,0.7574,0.9554,0.8008,0.8713,0.319,0.7139,0.441
Exp 4,Last 24h,GRU-D,0.8616,0.514,0.7834,0.7776,0.9631,0.7851,0.8651,0.3189,0.7701,0.4511
Exp 4,Last 24h,XGBoost,0.8516,0.4867,0.7942,0.7535,0.9537,0.8064,0.8739,0.3211,0.7005,0.4403
Exp 4,Last 24h,Ensemble,0.8644,0.5226,0.7908,0.7795,0.9627,0.7942,0.8704,0.3269,0.7647,0.458
