feature,importance
Glascow coma scale verbal response_last50_mean,0.14885883
Glascow coma scale motor response_last10_mean,0.13946538
Glascow coma scale motor response_last25_mean,0.113771446
Glascow coma scale verbal response_last10_min,0.11317251
Glucose_first50_count,0.0999814
Temperature_full_mean,0.09705538
Glascow coma scale eye opening_last10_mean,0.07955105
Glascow coma scale eye opening_last50_mean,0.07790662
Glascow coma scale verbal response_last25_mean,0.07492114
Temperature_last50_mean,0.07463399
Glascow coma scale eye opening_last10_max,0.073627874
Glascow coma scale motor response_last50_max,0.07258752
Respiratory rate_first10_max,0.06392265
Heart Rate_last10_mean,0.060437776
Glascow coma scale motor response_last25_max,0.059792135
Respiratory rate_full_mean,0.05849686
Glascow coma scale verbal response_last25_max,0.056573484
Respiratory rate_first10_mean,0.048243754
Temperature_last50_min,0.044553358
Oxygen saturation_last50_mean,0.044063557
pH_last50_count,0.042903297
Glascow coma scale motor response_last10_max,0.0427764
Glascow coma scale eye opening_last25_min,0.04184727
Glucose_last50_max,0.04062906
Glucose_full_mean,0.039993305
Respiratory rate_first25_mean,0.03661984
Glucose_last50_mean,0.03584246
Diastolic blood pressure_first10_min,0.034015495
Systolic blood pressure_full_min,0.03350778
Glucose_last50_min,0.028812932
Temperature_full_min,0.027947105
Systolic blood pressure_last25_min,0.027354456
Glascow coma scale motor response_first50_std,0.02697323
Temperature_first50_mean,0.026802864
Respiratory rate_last25_mean,0.02497067
Oxygen saturation_last25_std,0.02480261
Glascow coma scale total_full_std,0.024677532
Glascow coma scale eye opening_last10_min,0.024454337
pH_full_mean,0.02409141
Fraction inspired oxygen_last10_count,0.02391578
Respiratory rate_full_max,0.02379596
Diastolic blood pressure_last25_min,0.023648376
pH_first25_mean,0.023549234
Temperature_last25_min,0.022934653
pH_last25_count,0.021977836
Oxygen saturation_last50_std,0.021891296
Temperature_last25_mean,0.02167183
Diastolic blood pressure_full_mean,0.021648223
Temperature_last10_skew,0.021644626
Systolic blood pressure_last25_mean,0.021590441
Glascow coma scale eye opening_last25_mean,0.021489492
Glascow coma scale verbal response_last50_max,0.021175133
Glucose_first25_count,0.020246292
Diastolic blood pressure_last50_mean,0.019839875
Respiratory rate_last50_mean,0.019674575
Weight_last50_min,0.019454148
Oxygen saturation_last25_mean,0.019126572
Diastolic blood pressure_last25_mean,0.019018324
Respiratory rate_full_count,0.01851481
Heart Rate_last10_min,0.018243602
Systolic blood pressure_full_mean,0.018234164
Systolic blood pressure_last50_mean,0.01783593
Glascow coma scale motor response_last50_mean,0.017420493
Heart Rate_last50_mean,0.017325904
Temperature_last50_max,0.016407782
Diastolic blood pressure_last25_max,0.01635864
Heart Rate_last10_std,0.016287563
Diastolic blood pressure_last10_std,0.016155148
Respiratory rate_last10_min,0.016098442
Glascow coma scale motor response_full_max,0.015134498
Diastolic blood pressure_first10_count,0.014663602
Glascow coma scale motor response_last25_min,0.014457893
Heart Rate_last25_std,0.014160496
Mean blood pressure_full_mean,0.014050142
Diastolic blood pressure_first50_mean,0.014008468
Heart Rate_first10_skew,0.01388399
Temperature_full_std,0.013724044
Oxygen saturation_full_std,0.013720397
Systolic blood pressure_last50_min,0.013199788
Glascow coma scale total_first50_std,0.013072692
Heart Rate_last50_max,0.012944883
Glascow coma scale verbal response_last25_min,0.012619733
Diastolic blood pressure_last10_mean,0.012296762
Glucose_first25_mean,0.012254587
Systolic blood pressure_first10_mean,0.01220379
Respiratory rate_full_min,0.012044626
Height_first25_count,0.011951885
Diastolic blood pressure_first25_min,0.0119225895
Glascow coma scale verbal response_last50_min,0.011920822
Glascow coma scale eye opening_full_skew,0.0117617855
Glascow coma scale motor response_full_count,0.011655396
