base_feature,importance
Glascow coma scale motor response,0.56009424
Temperature,0.48646447
Glascow coma scale verbal response,0.47949323
Respiratory rate,0.46948758
Glascow coma scale eye opening,0.4029479
Glucose,0.39349383
Diastolic blood pressure,0.32312953
Heart Rate,0.2828008
pH,0.23629652
Systolic blood pressure,0.2307047
Oxygen saturation,0.22161701
Mean blood pressure,0.11157959
Glascow coma scale total,0.10187934
Weight,0.07745852
Fraction inspired oxygen,0.06705073
Height,0.02669101
Capillary refill rate,0.0029387681
